	memTotal					Property	No
	swapTotal					Property	No

	memFree						Statistic	Yes	Charted
	swapFree					Statistic	Yes
	loadAverage1Min					Statistic	Yes	Charted
	loadAverage5Min					Statistic	Yes
	loadAverage10Min				Statistic	Yes
	procTotal					Statistic	Yes
	procRunning					Statistic	Yes

org.apache.qpid.broker:system
	systemId					Property	No
	osName						Property	No
	nodeName					Property	No
	release						Property	No
	version						Property	No
	machine						Property	No
	
org.apache.qpid.broker:agent
	clientConnection				Property	No
	label						Property	No
	broker						Property	No
	systemId					Property	No
	brokerBank					Property	No
	agentBank					Property	No

org.apache.qpid.broker:binding
	exchange					Property	No
	queue						Property	No
	bindingKey					Property	No
	arguments					Property	No
	origin						Property	No

	msgMatched					Statistic	No

org.apache.qpid.broker:bridge
	linkRef						Property	No
	channelId					Property	No
	durable						Property	No
	src						Property	No
	dest						Property	No     
	key						Property	No
	srcIsQueue					Property	No
	srcIsLocal					Property	No
	tag						Property	No
	excludes					Property	No
	dynamic						Property	No

	close						Method		Yes

org.apache.qpid.broker:broker
	system						Property	No
	port						Property	Yes
	workerThreads					Property	Yes
	maxConns					Property	Yes
	connBacklog					Property	Yes
	stagingThreshold				Property	Yes
	mgmtPubInterval					Property	Yes
	version						Property	Yes
	dataDir						Property	Yes

	echo						Method		No
	connect						Method		Yes
	queueMoveMessages				Method		Yes

org.apache.qpid.broker:connection
	vhost						Property	No
	address						Property	Yes
	incoming					Property	No
	SystemConnection				Property	Yes
	federationLink					Property	Yes
	authIdentity					Property	Yes

	closing						Statistic	Yes
	framesFromClient				Statistic	Yes
	framesToClient					Statistic	Yes
	bytesFromClient					Statistic	Yes	Charted
	bytesToClient					Statistic	Yes	Charted

	close						Method		Yes

org.apache.qpid.broker:exchange
	vhost						Property	No
	name						Property	Yes
	type						Property	Yes
	durable						Property	Yes
	arguments					Property	Yes

	producerCount					Statistic	Yes
	producerCountLow				Statistic	No
	producerCountHigh				Statistic	No
	bindingCount					Statistic	Yes
	bindingCountLow					Statistic	No
	bindingCountHigh				Statistic	No
	msgReceives					Statistic	Yes
	msgDrops					Statistic	Yes
	msgRoutes					Statistic	Yes
	byteReceives					Statistic	Yes
	byteDrops					Statistic	Yes
	byteRoutes					Statistic	Yes

org.apache.qpid.broker:link
	vhost						Property	No
	host						Property	No
	port						Property	No
	transport					Property	No
	durable						Property	No

	state						Statistic	Yes
	lastError					Statistic	Yes

	close						Method		Yes
	bridge						Method		Yes
	
org.apache.qpid.broker:queue
	vhost						Property	No
	name						Property	Yes
	durable						Property	Yes
	autoDelete					Property	Yes
	exclusive					Property	Yes
	arguments					Property	Yes

	msgTotalEnqueues				Statistic	Yes	Charted
	msgTotalDequeues				Statistic	Yes	Charted
	msgTxnEnqueues					Statistic	Yes	Charted
	msgTxnDequeues					Statistic	Yes	Charted
	msgPersistEnqueues				Statistic	Yes	Charted
	msgPersistDequeues				Statistic	Yes	Charted
	msgDepth					Statistic	Yes	Charted
	byteDepth					Statistic	Yes
	byteTotalEnqueues				Statistic	Yes
	byteTotalDequeues				Statistic	Yes
	byteTxnEnqueues					Statistic	Yes
	byteTxnDequeues					Statistic	Yes
	bytePersistEnqueues				Statistic	Yes
	bytePersistDequeues				Statistic	Yes
	consumerCount					Statistic	Yes	Charted
	consumerCountLow				Statistic	No
	consumerCountHigh				Statistic	No
	bindingCount					Statistic	Yes
	bindingCountLow					Statistic	No
	bindingCountHigh				Statistic	No
	unackedMessages					Statistic	Yes
	unackedMessagesLow				Statistic	No
	unackedMessagesHigh				Statistic	No
	messageLatencyMin				Statistic	Yes
	messageLatencyMax				Statistic	Yes
	messageLatencyAverage				Statistic	Yes
	messageLatencySamples				Statistic	No

	purge						Method		Yes

org.apache.qpid.broker:session
	vhost						Property	No
	name						Property	Yes
	channelId					Property	No
	clientConnection				Property	No
	detachedLifespan				Property	No
	attached					Property	Yes
	expireTime					Property	No
	
	framesOutstanding				Statistic	No
	TxnStarts					Statistic	No
	TxnCommits					Statistic	No
	TxnRejects					Statistic	No
	TxnCount					Statistic	No

	solicitAck					Method		No
	detach						Method		No
	resetLifespan					Method		No
	close						Method		No


